"Base Size","Data Reader",Flags,"Label Handler","M Flag Use",Name,"Params Example","State Handler",Value,"X Flag Use"
1,READ_8,Immediate,nullptr,false,BRK,s,nullptr,0x00,false
1,READ_8,"DirectPage | Indirect | IndexedX",nullptr,false,ORA,"(d,x)",nullptr,0x01,false
1,READ_8,Immediate,nullptr,false,COP,#,nullptr,0x02,false
1,READ_8,StackRelative,nullptr,false,ORA,"d,s",nullptr,0x03,false
1,READ_8,DirectPage,nullptr,false,TSB,d,nullptr,0x04,false
1,READ_8,DirectPage,nullptr,false,ORA,d,nullptr,0x05,false
1,READ_8,DirectPage,nullptr,false,ASL,d,nullptr,0x06,false
1,READ_8,"DirectPage | IndirectLong",nullptr,false,ORA,[d],nullptr,0x07,false
0,NONE,Implied,nullptr,false,PHP,s,nullptr,0x08,false
1,READ_8_16,Immediate,nullptr,true,ORA,#,nullptr,0x09,false
0,NONE,Implied,nullptr,false,ASL,A,nullptr,0x0A,false
0,NONE,Implied,nullptr,false,PHD,s,nullptr,0x0B,false
2,READ_16,Absolute,nullptr,false,TSB,a,nullptr,0x0C,false
2,READ_16,Absolute,nullptr,false,ORA,a,nullptr,0x0D,false
2,READ_16,Absolute,nullptr,false,ASL,a,nullptr,0x0E,false
3,READ_24,AbsoluteLong,nullptr,false,ORA,al,nullptr,0x0F,false
1,READ_8,PCRelative,BRA,false,BPL,r,nullptr,0x10,false
1,READ_8,"DirectPage | Indirect | IndexedY",nullptr,false,ORA,"(d),y",nullptr,0x11,false
1,READ_8,"DirectPage | Indirect",nullptr,false,ORA,(d),nullptr,0x12,false
1,READ_8,"StackRelative | Indirect | IndexedY",nullptr,false,ORA,"(d,s),y",nullptr,0x13,false
1,READ_8,DirectPage,nullptr,false,TRB,d,nullptr,0x14,false
1,READ_8,"DirectPage | IndexedX",nullptr,false,ORA,"d,x",nullptr,0x15,false
1,READ_8,"DirectPage | IndexedX",nullptr,false,ASL,"d,x",nullptr,0x16,false
1,READ_8,"DirectPage | IndirectLong | IndexedY",nullptr,false,ORA,"[d],y",nullptr,0x17,false
0,NONE,Implied,nullptr,false,CLC,i,CLC,0x18,false
2,READ_16,"Absolute | IndexedY",nullptr,false,ORA,"a,y",nullptr,0x19,false
0,NONE,Implied,nullptr,false,INC,A,nullptr,0x1A,false
0,NONE,Implied,nullptr,false,TCS,i,nullptr,0x1B,false
2,READ_16,Absolute,nullptr,false,TRB,a,nullptr,0x1C,false
2,READ_16,"Absolute | IndexedX",nullptr,false,ORA,"a,x",nullptr,0x1D,false
2,READ_16,"Absolute | IndexedX",nullptr,false,ASL,"a,x",nullptr,0x1E,false
3,READ_24,"AbsoluteLong | IndexedX",nullptr,false,ORA,"al,x",nullptr,0x1F,false
2,READ_16,Absolute,JMP,false,JSR,a,nullptr,0x20,false
1,READ_8,"DirectPage | IndexedX",nullptr,false,AND,"(d,x)",nullptr,0x21,false
3,READ_24,AbsoluteLong,JMP,false,JSL,al,nullptr,0x22,false
1,READ_8,StackRelative,nullptr,false,AND,"d,s",nullptr,0x23,false
1,READ_8,DirectPage,nullptr,false,BIT,d,nullptr,0x24,false
1,READ_8,DirectPage,nullptr,false,AND,d,nullptr,0x25,false
1,READ_8,DirectPage,nullptr,false,ROL,d,nullptr,0x26,false
1,READ_8,"DirectPage | IndirectLong",nullptr,false,AND,[d],nullptr,0x27,false
0,NONE,Implied,nullptr,false,PLP,s,nullptr,0x28,false
1,READ_8_16,Immediate,nullptr,true,AND,#,nullptr,0x29,false
0,NONE,Implied,nullptr,false,ROL,A,nullptr,0x2A,false
0,NONE,Implied,nullptr,false,PLD,s,nullptr,0x2B,false
2,READ_16,Absolute,nullptr,false,BIT,a,nullptr,0x2C,false
2,READ_16,Absolute,nullptr,false,AND,a,nullptr,0x2D,false
2,READ_16,Absolute,nullptr,false,ROL,a,nullptr,0x2E,false
3,READ_24,AbsoluteLong,nullptr,false,AND,al,nullptr,0x2F,false
1,READ_8,PCRelative,BRA,false,BMI,R,nullptr,0x30,false
1,READ_8,"DirectPage | Indirect | IndexedY",nullptr,false,AND,"(d),y",nullptr,0x31,false
1,READ_8,"DirectPage | Indirect",nullptr,false,AND,(d),nullptr,0x32,false
1,READ_8,"StackRelative | Indirect | IndexedY",nullptr,false,AND,"(d,s),y",nullptr,0x33,false
1,READ_8,"DirectPage | IndexedX",nullptr,false,BIT,"d,x",nullptr,0x34,false
1,READ_8,"DirectPage | IndexedX",nullptr,false,AND,"d,x",nullptr,0x35,false
1,READ_8,"DirectPage | IndexedX",nullptr,false,ROL,"d,x",nullptr,0x36,false
1,READ_8,"DirectPage | IndirectLong | IndexedY",nullptr,false,AND,"[d],y",nullptr,0x37,false
0,NONE,Implied,nullptr,false,SEC,i,SEC,0x38,false
2,READ_16,"Absolute | IndexedY",nullptr,false,AND,"a,y",nullptr,0x39,false
0,NONE,Implied,nullptr,false,DEC,A,nullptr,0x3A,false
0,NONE,Implied,nullptr,false,TSC,i,nullptr,0x3B,false
2,READ_16,"Absolute | IndexedX",nullptr,false,BIT,"a,x",nullptr,0x3C,false
2,READ_16,"Absolute | IndexedX",nullptr,false,AND,"a,x",nullptr,0x3D,false
2,READ_16,"Absolute | IndexedX",nullptr,false,ROL,"a,x",nullptr,0x3E,false
3,READ_24,"Absolute | IndirectLong | IndexedX",nullptr,false,AND,"al,x",nullptr,0x3F,false
0,NONE,Implied,nullptr,false,RTI,s,nullptr,0x40,false
1,READ_8,"DirectPage | Indirect | IndexedX",nullptr,false,EOR,"(d,x)",nullptr,0x41,false
1,READ_8,Implied,nullptr,false,WDM,i,nullptr,0x42,false
1,READ_8,StackRelative,nullptr,false,EOR,"d,s",nullptr,0x43,false
2,READ_BMA,BlockMoveAddress,nullptr,false,MVP,"src,dst",nullptr,0x44,false
1,READ_8,DirectPage,nullptr,false,EOR,d,nullptr,0x45,false
1,READ_8,DirectPage,nullptr,false,LSR,d,nullptr,0x46,false
1,READ_8,"DirectPage | IndirectLong",nullptr,false,EOR,[d],nullptr,0x47,false
0,NONE,Implied,nullptr,false,PHA,s,nullptr,0x48,false
1,READ_8_16,Immediate,nullptr,true,EOR,#,nullptr,0x49,false
0,NONE,Implied,nullptr,false,LSR,A,nullptr,0x4A,false
0,NONE,Implied,nullptr,false,PHK,s,nullptr,0x4B,false
2,READ_16,Absolute,JMP,false,JMP,a,nullptr,0x4C,false
2,READ_16,Absolute,nullptr,false,EOR,a,nullptr,0x4D,false
2,READ_16,Absolute,nullptr,false,LSR,a,nullptr,0x4E,false
3,READ_24,AbsoluteLong,nullptr,false,EOR,al,nullptr,0x4F,false
1,READ_8,PCRelative,BRA,false,BVC,r,nullptr,0x50,false
1,READ_8,"DirectPage | Indirect | IndexedY",nullptr,false,EOR,"(d),y",nullptr,0x51,false
1,READ_8,"DirectPage | Indirect",nullptr,false,EOR,(d),nullptr,0x52,false
1,READ_8,"StackRelative | Indirect | IndexedY",nullptr,false,EOR,"(d,s),y",nullptr,0x53,false
2,READ_BMA,BlockMoveAddress,nullptr,false,MVN,"src,dst",nullptr,0x54,false
1,READ_8,"DirectPage | IndexedX",nullptr,false,EOR,"d,x",nullptr,0x55,false
1,READ_8,"DirectPage | IndexedX",nullptr,false,LSR,"d,x",nullptr,0x56,false
1,READ_8,"DirectPage | IndirectLong | IndexedY",nullptr,false,EOR,"[d],y",nullptr,0x57,false
0,NONE,Implied,nullptr,false,CLI,i,nullptr,0x58,false
2,READ_16,"Absolute | IndexedY",nullptr,false,EOR,"a,y",nullptr,0x59,false
0,NONE,Implied,nullptr,false,PHY,s,nullptr,0x5A,false
0,NONE,Implied,nullptr,false,TCD,i,nullptr,0x5B,false
3,READ_24,AbsoluteLong,JMP,false,JMP,al,nullptr,0x5C,false
2,READ_16,"Absolute | IndexedX",nullptr,false,EOR,"a,x",nullptr,0x5D,false
